,batch,truth,prediction,loss
0,1,0.78917205,1.0431355,0.06449744
1,1,1.074985,1.0431355,0.0010143908
2,1,1.9385934,1.0431355,0.8018448
3,1,0.9024179,1.0431355,0.01980145
4,2,0.4950706,1.0431355,0.3003752
5,2,1.5924501,1.0431355,0.30174655
6,2,0.89710605,1.0431355,0.021324607
7,2,1.7120627,1.0431355,0.4474636
8,3,1.7233992,1.0431355,0.46275863
9,3,1.5618968,1.0431355,0.26911327
10,3,0.8255052,1.0431355,0.04736296
11,3,1.2821616,1.0431355,0.057133462
12,4,0.26161233,1.0431355,0.61077857
13,4,0.25463244,1.0431355,0.62173706
14,4,0.3708883,1.0431355,0.45191634
15,4,1.5872892,1.0431355,0.29610324
16,5,1.0644091,1.0431355,0.0004525666
17,5,1.2636297,1.0431355,0.048617672
18,5,1.0427969,1.0431355,1.146998e-07
19,5,1.8643255,1.0431355,0.674353
20,6,0.829697,1.0431355,0.045555998
21,6,0.7263958,1.0431355,0.100324064
22,6,1.5806278,1.0431355,0.28889793
23,6,1.8750725,1.0431355,0.6921191
24,7,1.4715762,1.0431355,0.18356143
25,7,1.677049,1.0431355,0.40184635
26,7,0.6203022,1.0431355,0.17878802
27,7,0.69186234,1.0431355,0.12339284
28,8,1.4525764,1.0431355,0.16764183
29,8,0.84891903,1.0431355,0.037720043
30,8,0.5126936,1.0431355,0.28136864
31,8,0.27518687,1.0431355,0.5897451
32,9,0.62485284,1.0431355,0.1749604
33,9,1.6275126,1.0431355,0.34149653
34,9,0.27518687,1.0431355,0.5897451
35,9,0.9671077,1.0431355,0.005780228
36,10,0.2662588,1.0431355,0.6035374
37,10,0.52802664,1.0431355,0.26533717
38,10,0.31586546,1.0431355,0.5289217
39,10,0.27315193,1.0431355,0.5928747
40,11,0.6412677,1.0431355,0.16149773
41,11,1.417665,1.0431355,0.14027233
42,11,0.31421018,1.0431355,0.53133214
43,11,0.35433125,1.0431355,0.47445133
44,12,0.82965803,1.0431355,0.04557264
45,12,1.3262316,1.0431355,0.080143385
46,12,1.7453456,1.0431355,0.49309897
47,12,0.6823816,1.0431355,0.13014342
48,13,1.3084737,1.0431355,0.07040435
49,13,0.93375045,1.0431355,0.011965094
50,13,1.3831391,1.0431355,0.115602456
51,13,1.5918021,1.0431355,0.30103505
52,14,1.0843319,1.0431355,0.001697139
53,14,1.0120862,1.0431355,0.00096406345
54,14,0.7772857,1.0431355,0.07067613
55,14,0.7281813,1.0431355,0.09919616
56,15,0.90455216,1.0431355,0.019205349
57,15,1.5253943,1.0431355,0.23257355
58,15,1.4114313,1.0431355,0.13564178
59,15,0.32562447,1.0431355,0.5148221
60,16,1.1515971,1.0431355,0.011763923
61,16,0.25344065,1.0431355,0.62361807
62,16,0.8914386,1.0431355,0.023011956
63,16,0.552998,1.0431355,0.24023479
64,17,0.52933955,1.0431355,0.2639863
65,17,0.70604247,1.0431355,0.113631725
66,17,1.8115578,1.0431355,0.59047276
67,17,0.693555,1.0431355,0.12220655
68,18,0.41591898,1.0431355,0.39340064
69,18,0.25657532,1.0431355,0.6186769
70,18,1.3374841,1.0431355,0.086641096
71,18,0.2561989,1.0431355,0.61926925
72,19,0.37255213,1.0431355,0.44968206
73,19,0.41591898,1.0431355,0.39340064
74,19,1.0633192,1.0431355,0.00040738104
75,19,1.0241221,1.0431355,0.00036150956
76,20,0.46906915,1.0431355,0.32955223
77,20,0.9230402,1.0431355,0.014422884
78,20,1.6362401,1.0431355,0.35177305
79,20,0.7381095,1.0431355,0.09304086
80,21,0.74791914,1.0431355,0.08715271
81,21,0.5916721,1.0431355,0.2038192
82,21,1.5441362,1.0431355,0.25100166
83,21,1.7592808,1.0431355,0.51286405
84,22,0.72336686,1.0431355,0.102252
85,22,1.8160284,1.0431355,0.59736335
86,22,0.3501317,1.0431355,0.48025432
87,22,0.37844232,1.0431355,0.4418171
88,23,0.6949094,1.0431355,0.12126144
89,23,1.4680915,1.0431355,0.18058757
90,23,0.7691606,1.0431355,0.075062245
91,23,0.693555,1.0431355,0.12220655
92,24,0.92164874,1.0431355,0.014759039
93,24,0.8213809,1.0431355,0.049175106
94,24,0.5194973,1.0431355,0.274197
95,24,1.830108,1.0431355,0.61932576
96,25,0.77504677,1.0431355,0.07187158
97,25,1.1645753,1.0431355,0.014747629
98,25,1.7412056,1.0431355,0.4873018
