,batch,truth,prediction,loss
0,1,0.6789157,0.95618004,0.07687552
1,1,1.8153447,1.2369418,0.33454987
2,1,1.4240139,0.86044127,0.31761405
3,1,1.0993062,0.98473674,0.013126167
4,2,1.2821616,1.5782607,0.087674655
5,2,0.87676626,0.78799194,0.0078808805
6,2,0.9012707,1.1554279,0.06459591
7,2,0.7421945,1.244144,0.2519533
8,3,1.134997,0.68310547,0.20420596
9,3,1.0094652,1.176619,0.027940406
10,3,0.62485284,0.57089335,0.0029116264
11,3,0.9012707,0.76451397,0.0187024
12,4,1.7653971,1.2139804,0.3040603
13,4,1.2468631,1.0067155,0.057670865
14,4,0.84891903,1.2167945,0.13533235
15,4,1.8750725,0.97248536,0.8146635
16,5,0.41533348,0.77988034,0.13289441
17,5,1.1645753,1.0551965,0.011963725
18,5,1.0645075,0.6774484,0.14981474
19,5,1.8732083,1.0888395,0.6152343
20,6,1.8845539,1.2589426,0.39138952
21,6,0.25463244,0.9139416,0.43468857
22,6,1.807529,1.104965,0.49359617
23,6,0.9771538,1.0863755,0.011929379
24,7,1.8067282,1.1483067,0.4335189
25,7,0.9919672,0.90926987,0.006838849
26,7,1.1228998,0.83002394,0.08577625
27,7,0.74475545,0.7874999,0.0018270887
28,8,1.5589837,1.253581,0.09327077
29,8,1.9246684,1.3553,0.32418045
30,8,1.074985,0.79338396,0.07929917
31,8,0.43431285,0.8994835,0.21638374
32,9,1.3965911,1.0193846,0.1422847
33,9,1.4757595,1.1656346,0.09617744
34,9,0.53868484,0.7051973,0.02772639
35,9,1.4757595,1.2592595,0.04687227
36,10,0.693555,0.9273767,0.054672584
37,10,1.8435434,0.8260598,1.0352728
38,10,1.6386216,1.134584,0.25405392
39,10,0.32008088,0.81966764,0.24958692
40,11,0.92136663,0.92615855,2.2962453e-05
41,11,0.7532584,1.0945468,0.116477765
42,11,1.9637005,1.3761449,0.34522164
43,11,1.0756718,1.2682033,0.037068367
44,12,1.5400788,1.2587788,0.07912966
