,batch,truth,prediction,loss
0,1,0.3551801,1.09372,0.54544103
1,1,1.2765388,1.09372,0.033422746
2,1,1.2604102,1.09372,0.027785633
3,1,0.693555,1.09372,0.16013199
4,2,1.7800661,1.09372,0.47107106
5,2,0.3507212,1.09372,0.5520471
6,2,1.6224983,1.09372,0.2796065
7,2,0.85800904,1.09372,0.05555964
8,3,1.619924,1.09372,0.27689064
9,3,0.92164874,1.09372,0.029608505
10,3,1.2236712,1.09372,0.016887324
11,3,0.65632236,1.09372,0.19131666
12,4,1.3197085,1.09372,0.051070806
13,4,0.28988442,1.09372,0.64615154
14,4,1.4815655,1.09372,0.15042414
15,4,1.5441362,1.09372,0.20287476
16,5,0.60765487,1.09372,0.23625927
17,5,0.59317505,1.09372,0.2505452
18,5,0.7515587,1.09372,0.11707431
19,5,1.4240139,1.09372,0.10909405
20,6,1.8258107,1.09372,0.5359568
21,6,1.7598339,1.09372,0.44370782
22,6,0.8533269,1.09372,0.057788815
23,6,1.8704754,1.09372,0.60334903
24,7,1.5320959,1.09372,0.19217347
25,7,1.6993257,1.09372,0.3667583
26,7,0.40156683,1.09372,0.4790759
27,7,0.92136663,1.09372,0.02970567
28,8,1.6993257,1.09372,0.3667583
29,8,0.75506616,1.09372,0.1146864
30,8,1.7169018,1.09372,0.38835558
31,8,1.1164494,1.09372,0.00051662547
32,9,1.7971536,1.09372,0.49481887
33,9,1.0473877,1.09372,0.0021466764
34,9,1.3785312,1.09372,0.08111745
35,9,0.9930013,1.09372,0.010144252
36,10,1.0212929,1.09372,0.0052456753
37,10,1.3755506,1.09372,0.079428524
38,10,1.7679074,1.09372,0.4545287
39,10,0.60765487,1.09372,0.23625927
40,11,1.7276303,1.09372,0.40184227
41,11,1.2717423,1.09372,0.03169197
42,11,1.9021927,1.09372,0.6536282
43,11,1.1905675,1.09372,0.009379445
44,12,0.7892702,1.09372,0.09268964
45,12,0.91362154,1.09372,0.03243544
46,12,0.7609107,1.09372,0.11076201
47,12,0.73641956,1.09372,0.12766358
48,13,0.43627673,1.09372,0.4322316
49,13,0.5515634,1.09372,0.29393375
50,13,1.7164242,1.09372,0.3877606
51,13,0.4466803,1.09372,0.4186603
52,14,0.25463244,1.09372,0.7040678
53,14,0.8888306,1.09372,0.04197965
54,14,1.3143762,1.09372,0.04868919
55,14,1.0120862,1.09372,0.006664078
56,15,1.9413391,1.09372,0.7184583
57,15,0.8140353,1.09372,0.07822351
58,15,1.9958925,1.09372,0.8139153
59,15,1.7233992,1.09372,0.3964959
60,16,1.2604102,1.09372,0.027785633
61,16,1.4760351,1.09372,0.14616488
62,16,0.5108458,1.09372,0.3397423
63,16,0.2780489,1.09372,0.6653193
64,17,1.0831906,1.09372,0.00011086824
65,17,0.6887272,1.09372,0.16401914
66,17,1.2817379,1.09372,0.035350755
