,batch,truth,prediction,loss
0,1,1.7996877,1.0698044,0.5327296
1,1,0.8139319,1.0697783,0.0654574
2,1,1.4757595,1.069663,0.16491434
3,1,1.3565649,1.0697415,0.08226766
4,2,1.4563532,1.0696367,0.14954963
5,2,0.7446675,1.0697923,0.10570613
6,2,1.8762056,1.0697645,0.6503472
7,2,1.0993062,1.0696831,0.00087753107
8,3,0.37255213,1.0696485,0.48594332
9,3,1.4606683,1.0697389,0.15282585
10,3,0.9720813,1.0696694,0.00952343
11,3,1.7800661,1.0696348,0.5047127
12,4,1.113264,1.0695957,0.0019069178
13,4,1.5253943,1.0696825,0.20767328
14,4,0.27561647,1.0696578,0.6305016
15,4,0.77780896,1.0695189,0.0850947
16,5,0.80372006,1.0695763,0.07067952
17,5,1.6582794,1.0696921,0.34643498
18,5,1.8858317,1.0695894,0.66625154
19,5,1.3565649,1.069673,0.08230698
20,6,0.4680653,1.0696309,0.36188117
21,6,0.41284326,1.0695739,0.43129516
22,6,0.5864527,1.0696325,0.23346272
23,6,0.93375045,1.069678,0.018476285
24,7,0.38294274,1.0697155,0.47165683
25,7,1.0073575,1.0697621,0.0038943382
26,7,0.5398693,1.069651,0.28066865
27,7,0.25344065,1.0697582,0.6663744
28,8,0.7532584,1.0697446,0.100163504
29,8,1.2468631,1.0697329,0.031375114
30,8,0.4302335,1.0697012,0.40891895
31,8,1.7169018,1.0698286,0.41870368
32,9,1.770626,1.0696616,0.491351
33,9,1.0086157,1.0696497,0.0037251448
34,9,0.83805716,1.0696961,0.053656586
35,9,1.5589837,1.070272,0.23883913
36,10,1.936844,1.0695429,0.7522112
37,10,0.86044717,1.0696447,0.043763604
38,10,1.4385924,1.0696919,0.13608761
39,10,1.3213794,1.0697577,0.06331349
40,11,0.36701095,1.0696719,0.49373236
41,11,0.8533269,1.0696747,0.046806376
42,11,1.2418152,1.0696201,0.029651145
43,11,0.37249723,1.0701661,0.4867419
44,12,0.5194973,1.0696489,0.30266675
45,12,0.66579074,1.0697428,0.16317727
46,12,1.5872892,1.0696867,0.26791242
47,12,1.3213794,1.069734,0.06332543
48,13,0.3749343,1.0695719,0.4825213
49,13,1.9765368,1.0697095,0.8223356
50,13,1.7988664,1.0700372,0.53119195
51,13,1.1537279,1.0698335,0.0070382655
52,14,1.4631615,1.0695584,0.1549234
53,14,1.8240379,1.0696796,0.56905645
54,14,0.90324223,1.0696704,0.02769835
55,14,0.2780489,1.0698428,0.6269376
56,15,1.6887656,1.0696619,0.38328952
57,15,1.9194193,1.069721,0.7219872
58,15,1.299555,1.0697587,0.052806336
59,15,1.6582794,1.0697637,0.3463508
60,16,1.0578294,1.0696249,0.00013913431
61,16,1.1817724,1.069747,0.012549686
62,16,1.0843319,1.0697229,0.00021342227
63,16,1.9915768,1.0698731,0.84953773
64,17,1.9849092,1.0697196,0.83757204
65,17,0.8914386,1.0697272,0.031786818
66,17,0.25463244,1.0697031,0.66434014
67,17,1.1817724,1.0695183,0.012600966
68,18,1.9849092,1.0695817,0.8378243
69,18,0.59678465,1.0696294,0.22358218
70,18,0.67640847,1.0697134,0.15468873
71,18,0.8488869,1.069602,0.04871516
72,19,0.35053343,1.0696666,0.51715255
73,19,0.9597976,1.0697151,0.0120818615
74,19,1.3213898,1.0698009,0.063296996
75,19,1.7598339,1.0695937,0.4764316
76,20,1.330645,1.069807,0.068036415
77,20,1.2821616,1.0695941,0.04518492
78,20,0.61104125,1.0696499,0.21032193
79,20,1.0297562,1.0698423,0.0016068994
80,21,1.0756718,1.0695202,3.784165e-05
81,21,0.37249723,1.0697414,0.48614943
82,21,0.97480774,1.0695554,0.00897712
83,21,1.6286677,1.0697424,0.31239745
84,22,0.38792935,1.0697787,0.46491855
85,22,0.27561647,1.0697587,0.6306618
86,22,1.2032529,1.0697546,0.0178218
87,22,0.5118076,1.0697644,0.31131575
88,23,0.51304597,1.0697198,0.30988574
89,23,0.36143076,1.0696801,0.50161713
90,23,1.951801,1.0696392,0.7782093
91,23,1.830108,1.0696418,0.5783089
92,24,1.5130831,1.069798,0.19650169
93,24,1.4970859,1.0698456,0.18253434
94,24,1.3228495,1.0696596,0.06410514
95,24,1.7404042,1.0697858,0.44972906
96,25,1.0565308,1.069771,0.00017530337
97,25,0.7609107,1.0696399,0.095313735
98,25,1.6940287,1.0697923,0.38967118
99,25,1.5320959,1.0696459,0.21386003
100,26,1.0120862,1.0697058,0.0033200288
101,26,0.77039266,1.0696704,0.08956719
102,26,0.6949094,1.0696902,0.14046067
103,26,0.35433125,1.0697753,0.51186025
104,27,1.3405259,1.0696414,0.07337842
105,27,1.4715762,1.0698167,0.1614107
106,27,1.8632985,1.0696695,0.62984705
107,27,1.3374841,1.0695264,0.07180132
108,28,0.6203022,1.0697218,0.201978
109,28,1.9318478,1.0697634,0.7431895
110,28,0.39865562,1.0697083,0.45031172
111,28,1.7557346,1.0696337,0.47073436
112,29,1.3143762,1.0696945,0.05986914
113,29,0.93375045,1.0700445,0.018576073
114,29,0.84505576,1.069736,0.05048121
115,29,1.0838559,1.0696027,0.00020315198
116,30,1.0950142,1.069781,0.0006367178
117,30,1.8333888,1.0695925,0.5833848
118,30,0.98206025,1.0697439,0.007688417
119,30,1.6993257,1.0697427,0.39637476
120,31,0.43016252,1.0696969,0.40900418
121,31,0.6167585,1.0700889,0.2055084
122,31,0.40125898,1.0697427,0.4468705
123,31,1.6397486,1.0696964,0.32495946
124,32,0.53447706,1.0696137,0.28637123
125,32,0.94855046,1.0698036,0.014702322
126,32,0.8533269,1.0696815,0.046809316
127,32,0.32562447,1.069598,0.55349654
128,33,1.7557346,1.0698,0.4705062
129,33,1.1505882,1.0698824,0.00651342
130,33,0.68849266,1.0696973,0.14531694
131,33,1.6721095,1.0696628,0.362942
132,34,1.1709156,1.069608,0.010263236
133,34,1.2418152,1.0698721,0.029564418
134,34,0.9065825,1.0698656,0.026661374
135,34,1.0476376,1.0697474,0.00048884616
136,35,0.8901712,1.0697529,0.03224961
137,35,1.8673493,1.0696704,0.6362915
138,35,1.4046863,1.0695832,0.11229412
139,35,1.4046277,1.0695992,0.112244114
140,36,1.465548,1.0696101,0.15676683
141,36,0.5969993,1.0696044,0.22335559
142,36,1.9637005,1.0695591,0.7994889
143,36,0.2561989,1.0696794,0.6617505
144,37,1.7500302,1.0695946,0.46299252
145,37,1.465548,1.0696453,0.156739
146,37,1.4760351,1.0697291,0.16508459
147,37,0.6203022,1.0696942,0.20195313
148,38,1.417665,1.0697975,0.121011786
149,38,1.7971536,1.0696291,0.5292919
150,38,1.2680304,1.0698239,0.039285835
151,38,0.54898125,1.069802,0.2712543
152,39,0.7446675,1.0701026,0.10590801
153,39,1.5437447,1.0697013,0.22471711
154,39,0.6587879,1.0696278,0.16878939
155,39,1.9911209,1.0696344,0.84913737
156,40,1.6760323,1.069845,0.36746308
157,40,0.39685118,1.0695839,0.4525693
158,40,0.39685118,1.0697905,0.4528473
159,40,1.902,1.0698724,0.6924363
160,41,1.8613564,1.0699059,0.6263939
161,41,1.8333888,1.069629,0.5833291
162,41,1.8569874,1.0697145,0.6197985
163,41,0.46906915,1.0696595,0.36070877
164,42,1.8791533,1.069732,0.6551629
165,42,1.685178,1.069679,0.37883905
166,42,0.54898125,1.0697908,0.27124262
167,42,0.5969993,1.0696615,0.22340956
168,43,0.9097924,1.0695566,0.02552459
169,43,0.77780896,1.0695996,0.08514179
170,43,1.2677081,1.06972,0.039199263
171,43,1.9621015,1.0699344,0.7959621
172,44,0.5864527,1.0696362,0.2334663
173,44,0.49492326,1.0696774,0.3303423
174,44,1.7232659,1.0697638,0.427065
175,44,1.0120862,1.0697154,0.003321128
176,45,1.7404042,1.0696721,0.4498816
177,45,1.5885497,1.0694821,0.26943123
178,45,1.3785312,1.0697286,0.09535905
179,45,0.82965803,1.0696754,0.05760836
180,46,0.6823816,1.0696225,0.14995556
181,46,1.6224983,1.0698955,0.30536982
182,46,1.830108,1.0696511,0.57829475
183,46,1.8115578,1.0699059,0.5500475
184,47,1.3602201,1.0696254,0.084445275
185,47,0.38098067,1.0698383,0.47452483
186,47,1.6327474,1.0697377,0.31697997
187,47,1.7211369,1.0696566,0.42442662
