,batch,truth,prediction,loss
0,1,0.5288666,0.76215947,0.054425567
1,1,0.39685118,0.62229174,0.050823446
2,1,1.0583415,1.4080138,0.12227073
3,1,1.1347603,1.0021642,0.017581703
4,2,0.54898125,1.0180421,0.22001807
5,2,0.88571256,0.99886835,0.012804231
6,2,1.7800661,1.2932603,0.23697989
7,2,0.6287319,0.79645884,0.028132325
8,3,1.4046863,1.0874331,0.10064961
9,3,1.113264,1.298363,0.03426164
10,3,1.2765388,1.358129,0.006656957
11,3,0.9597976,0.9841327,0.0005921964
12,4,1.2370028,0.81918114,0.17457497
13,4,1.4757595,1.3811376,0.008953303
14,4,0.75506616,0.94910425,0.037650783
15,4,1.7110641,1.6595484,0.0026538672
16,5,1.1999626,1.3625698,0.0264411
17,5,1.0073575,1.5571089,0.3022266
18,5,0.4089258,0.8931196,0.2344436
19,5,1.5320959,1.1320086,0.1600699
20,6,0.5621123,0.73521996,0.02996627
21,6,1.6721095,0.9497814,0.52175784
22,6,1.0843319,0.59162784,0.24275726
23,6,1.9448832,1.4188216,0.27674085
24,7,1.0578294,1.2153119,0.02480074
25,7,1.4759749,1.3215613,0.023843555
26,7,0.6883043,0.86386406,0.030821228
27,7,0.84891903,0.85946393,0.00011119484
28,8,1.7996877,1.1366048,0.439679
29,8,1.3883398,1.2071586,0.032826625
30,8,1.8544729,1.0575676,0.63505805
31,8,1.902,0.9173416,0.9695521
32,9,0.49492326,0.57157075,0.0058748377
33,9,0.92136663,1.489132,0.32235757
34,9,1.6760323,1.4998777,0.031030448
35,9,0.27518687,1.0788287,0.6458401
36,10,0.30073225,0.64279675,0.11700812
37,10,0.8914386,1.3282461,0.1908008
38,10,1.951801,1.109282,0.70983815
39,10,1.1179335,1.168291,0.0025358738
40,11,1.4174155,1.428566,0.0001243332
41,11,0.4680653,0.62801445,0.025583731
42,11,0.28849363,0.96845084,0.46234182
43,11,1.4815655,0.8059315,0.45648125
44,12,1.7364908,1.4998231,0.056011625
45,12,0.5851832,0.75723267,0.029601017
46,12,0.92164874,0.96942645,0.0022827098
47,12,1.4563532,1.4633915,4.953844e-05
48,13,1.5133659,0.8970975,0.37978667
49,13,0.7549987,1.0929159,0.11418804
50,13,0.7772857,0.9812965,0.0416204
51,13,1.0633192,1.4319965,0.13592292
52,14,1.5253943,1.2833982,0.058562145
53,14,1.0747751,1.0027927,0.0051814634
54,14,0.8704503,1.2905161,0.17645529
55,14,1.7340713,1.1266048,0.36901549
56,15,0.54898125,0.7077351,0.025202792
57,15,0.71073526,1.3700037,0.43463486
58,15,0.97480774,1.0321807,0.0032916528
59,15,0.3451394,0.86828434,0.27368066
60,16,1.618359,1.5410186,0.005981532
61,16,1.113264,0.7138076,0.1595654
62,16,1.7680753,1.0971465,0.4501455
63,16,1.8144761,0.6366724,1.3872217
64,17,1.3566898,1.1941785,0.026409939
65,17,1.777999,1.1202767,0.43259868
66,17,1.6693891,1.5326378,0.018700916
67,17,1.4109393,1.2492561,0.026141457
68,18,1.8240379,1.3714654,0.20482184
69,18,1.2603972,1.1913188,0.0047718314
70,18,0.70655,1.1083663,0.1614563
71,18,1.5035104,1.0366774,0.21793304
72,19,0.9771538,1.2331893,0.06555421
73,19,1.6499485,1.5024861,0.02174515
74,19,1.9582803,1.5078223,0.20291245
75,19,0.59317505,0.7150788,0.014860516
76,20,0.6159582,0.8559096,0.05757666
77,20,1.8673493,1.051899,0.6649592
78,20,0.4006896,0.9276054,0.27764025
79,20,0.7092656,1.2097764,0.25051108
80,21,0.37844232,0.586366,0.04323226
81,21,1.4379382,0.96493924,0.22372803
82,21,0.43627673,0.74487716,0.09523422
83,21,0.94855046,1.0909771,0.02028534
84,22,1.465548,1.0950396,0.1372765
85,22,1.8689232,1.4403914,0.18363948
86,22,1.9974656,1.4865913,0.26099253
87,22,1.3666867,1.5152814,0.022080395
88,23,1.6327474,1.3075247,0.10576983
89,23,1.074985,1.0742928,4.7920776e-07
90,23,0.7599878,1.3686658,0.37048897
91,23,0.7381095,0.70116,0.0013652667
92,24,0.66579074,0.55846727,0.011518327
93,24,0.86983395,1.0270717,0.024723716
94,24,1.2370028,1.2757827,0.0015038771
95,24,0.6287319,1.0624617,0.18812156
96,25,1.9915768,1.2462702,0.555482
97,25,1.7286313,1.1481448,0.3369645
98,25,1.9913948,1.4887096,0.2526924
99,25,1.1060326,1.0576122,0.002344538
100,26,1.0895467,1.1577308,0.0046490766
101,26,0.5126936,1.28981,0.60390985
