,batch,truth,prediction,loss
0,1,1.1515971,1.0863947,0.0042513628
1,1,0.8704503,1.0863948,0.046632014
2,1,1.5358242,1.0863948,0.20198677
3,1,0.5382005,1.0863948,0.300517
4,2,1.8067282,1.0863947,0.5188805
5,2,0.5969993,1.0863947,0.23950784
6,2,1.6673752,1.0863948,0.33753824
7,2,1.3349698,1.0863947,0.061789576
8,3,1.3984005,1.0863948,0.097347595
9,3,1.685178,1.0863948,0.3585414
10,3,1.9958925,1.0863948,0.8271861
11,3,0.5550866,1.0863948,0.28228837
12,4,1.3566898,1.0863948,0.0730594
13,4,1.5778768,1.0863948,0.24155457
14,4,0.81322455,1.0863947,0.07462191
15,4,0.40156683,1.0863947,0.46898913
16,5,1.7653971,1.0863948,0.4610441
17,5,1.3831391,1.0863948,0.088057205
18,5,1.8086361,1.0863948,0.5216325
19,5,0.8139319,1.0863948,0.074236035
20,6,1.8765705,1.0863947,0.6243778
21,6,1.0020626,1.0863948,0.0071119247
22,6,1.3723841,1.0863947,0.08178994
23,6,0.693555,1.0863948,0.1543231
24,7,1.4379382,1.0863948,0.12358278
25,7,1.3467207,1.0863948,0.06776958
26,7,1.0297562,1.0863948,0.0032079308
27,7,1.1527054,1.0863947,0.0043971175
28,8,0.8255052,1.0863948,0.06806338
29,8,1.4109393,1.0863947,0.105329245
30,8,1.0804138,1.0863948,3.5771984e-05
31,8,0.5505045,1.0863948,0.2871784
32,9,0.60765487,1.0863948,0.22919191
33,9,0.7609107,1.0863948,0.105939895
34,9,1.9208587,1.0863948,0.6963301
35,9,0.52933955,1.0863948,0.31031054
36,10,1.2657127,1.0863948,0.03215493
37,10,1.5151665,1.0863948,0.1838452
38,10,0.48387486,1.0863948,0.36303025
39,10,0.37249723,1.0863948,0.50964975
40,11,1.9806366,1.0863948,0.79966843
41,11,1.1537279,1.0863948,0.0045337467
42,11,1.9822699,1.0863948,0.8025922
43,11,0.3551801,1.0863948,0.5346749
44,12,0.32932135,1.0863947,0.57315993
45,12,0.60838455,1.0863948,0.22849378
46,12,1.2677081,1.0863948,0.032874506
47,12,1.4757595,1.0863948,0.15160489
48,13,1.3704107,1.0863948,0.08066503
49,13,0.42383918,1.0863948,0.4389799
50,13,0.5260154,1.0863948,0.31402504
51,13,1.8080924,1.0863948,0.5208474
52,14,1.6666715,1.0863948,0.3367211
53,14,1.7988664,1.0863947,0.507616
54,14,0.71894217,1.0863948,0.13502143
55,14,1.299555,1.0863948,0.045437254
56,15,1.2884144,1.0863947,0.040811956
57,15,1.5734576,1.0863948,0.23723018
