,batch,truth,prediction,loss
0,1,0.35884613,1.0864592,0.52942073
1,1,0.37255213,1.0864592,0.5096632
2,1,0.32566765,1.0864592,0.5788038
3,1,0.7381095,1.0864592,0.121347465
4,2,0.43627673,1.0864592,0.42273718
5,2,0.50774294,1.0864592,0.33491245
6,2,0.938216,1.0864592,0.021976043
7,2,0.44927847,1.0864592,0.4059992
8,3,0.8213809,1.0864592,0.07026648
9,3,1.2657127,1.0864592,0.032131847
10,3,1.1164494,1.0864592,0.00089941185
11,3,1.5618968,1.0864592,0.22604094
12,4,0.854931,1.0864592,0.053605292
13,4,1.6993257,1.0864592,0.37560537
14,4,1.4112358,1.0864592,0.10547987
15,4,1.2636297,1.0864592,0.031389393
16,5,1.6386216,1.0864592,0.30488333
17,5,0.3451394,1.0864592,0.549555
18,5,1.1698462,1.0864592,0.0069533945
19,5,1.7164242,1.0864592,0.39685598
20,6,1.3764975,1.0864592,0.08412224
21,6,0.68322074,1.0864592,0.16260122
22,6,1.902,1.0864592,0.6651068
23,6,1.5779141,1.0864592,0.24152797
24,7,1.7233992,1.0864592,0.40569258
25,7,1.3883398,1.0864592,0.091131896
26,7,1.8694086,1.0864592,0.6130098
27,7,1.4680915,1.0864592,0.14564323
28,8,0.6159582,1.0864592,0.22137114
29,8,1.9021927,1.086459,0.6654214
30,8,0.77039266,1.0864592,0.09989803
31,8,1.5151665,1.0864592,0.18379
32,9,0.92164874,1.0864592,0.027162474
33,9,1.3197085,1.0864592,0.05440524
34,9,1.0252532,1.0864592,0.0037461724
35,9,1.1227767,1.0864592,0.0013189671
36,10,0.98699135,1.0864592,0.009893846
37,10,1.0120862,1.0864592,0.005531344
38,10,1.2821616,1.0864592,0.03829944
39,10,0.77504677,1.0864592,0.09697768
40,11,0.9012707,1.0864592,0.03429477
41,11,0.93375045,1.0864592,0.02331995
42,11,0.5864527,1.0864592,0.25000644
43,11,1.9098939,1.0864592,0.67804474
44,12,1.7136245,1.0864592,0.39333633
45,12,1.5503461,1.0864592,0.21519113
46,12,0.38792935,1.0864592,0.48794395
47,12,1.5035104,1.086459,0.17393179
48,13,0.8533269,1.0864592,0.054350644
49,13,0.5864527,1.0864592,0.25000644
50,13,0.94855046,1.086459,0.019018777
51,13,1.2717423,1.0864592,0.034329858
52,14,1.6693891,1.0864592,0.33980736
53,14,1.5107433,1.0864592,0.180017
54,14,0.5969993,1.0864592,0.23957096
55,14,1.0895467,1.0864592,9.532783e-06
56,15,1.2236712,1.0864592,0.018827144
57,15,1.7211369,1.0864592,0.40281588
58,15,1.7500302,1.0864592,0.44032648
59,15,0.6949094,1.0864592,0.15331122
60,16,0.5687104,1.0864592,0.26806378
61,16,0.70822495,1.0864592,0.14306112
62,16,1.7296746,1.0864592,0.41372606
63,16,1.5878541,1.0864592,0.25139692
64,17,1.1423737,1.0864592,0.0031264336
65,17,1.3224024,1.0864592,0.055669192
66,17,0.35433125,1.0864592,0.5360113
67,17,1.4757595,1.0864592,0.15155476
68,18,1.2572198,1.0864592,0.029159194
