,batch,truth,prediction,loss
0,1,0.29404935,0.29277188,1.6319464e-06
1,1,1.7404042,1.7422849,3.5368284e-06
2,1,0.36236233,0.3596345,7.4410914e-06
3,1,0.98206025,0.9682702,0.00019016606
4,2,0.46906915,0.4725006,1.1774777e-05
5,2,1.2542769,1.2548203,2.9536523e-07
6,2,1.7169018,1.724515,5.796054e-05
7,2,1.7500302,1.7470965,8.6061345e-06
8,3,1.6760323,1.6621152,0.00019368535
9,3,1.3374841,1.3369049,3.3551657e-07
10,3,0.7858015,0.79134536,3.073469e-05
11,3,1.2821616,1.2845957,5.9250106e-06
12,4,1.7120627,1.6991795,0.0001659765
13,4,1.8258107,1.8257442,4.4247486e-09
14,4,0.5717899,0.5792894,5.6241846e-05
15,4,1.9194193,1.9234451,1.6207201e-05
16,5,1.8752534,1.8843783,8.3263345e-05
17,5,1.5684447,1.5620967,4.029728e-05
18,5,1.0120862,1.0135896,2.2604147e-06
19,5,0.40067458,0.39725843,1.1670087e-05
20,6,1.417665,1.4085997,8.2179125e-05
21,6,1.8752534,1.8951733,0.0003968013
22,6,1.0829505,1.0850495,4.405957e-06
23,6,1.3666867,1.3649017,3.1863674e-06
24,7,0.9175521,0.9208319,1.0757122e-05
25,7,0.93775624,0.9406543,8.398621e-06
26,7,1.5035104,1.5026442,7.502586e-07
27,7,1.8144761,1.8315809,0.0002925723
28,8,1.0408252,1.0384326,5.7247726e-06
29,8,1.3053991,1.3220747,0.00027807534
30,8,0.9575354,0.9666301,8.271384e-05
31,8,0.32932135,0.34722632,0.00032058786
32,9,1.465548,1.465945,1.5758275e-07
33,9,0.6682032,0.66907716,7.638461e-07
34,9,0.88571256,0.8867698,1.1176879e-06
35,9,0.27315193,0.2810217,6.193344e-05
36,10,1.0950142,1.1036888,7.524906e-05
37,10,0.8653551,0.8632951,4.243584e-06
38,10,0.623836,0.6242589,1.7884014e-07
39,10,0.6167585,0.625816,8.203762e-05
40,11,0.97480774,0.9786923,1.50897595e-05
41,11,1.3965911,1.399219,6.90622e-06
42,11,1.0247164,1.0070072,0.0003136135
43,11,0.69054574,0.6938627,1.1002084e-05
44,12,1.7233992,1.7304991,5.0409802e-05
45,12,0.73362815,0.7346066,9.574032e-07
46,12,1.9246684,1.9389057,0.00020270028
47,12,0.9024179,0.9035469,1.2747114e-06
48,13,1.3764975,1.3983494,0.0004775054
49,13,0.5631441,0.55534065,6.089368e-05
50,13,0.3507212,0.3463721,1.891478e-05
51,13,1.0895467,1.0807134,7.8027e-05
52,14,0.92164874,0.9166156,2.5332452e-05
53,14,0.43066582,0.44100797,0.000106960084
54,14,0.37517592,0.38065735,3.0045987e-05
55,14,1.3351798,1.3487167,0.00018324847
56,15,0.8208209,0.82705975,3.892285e-05
57,15,0.70822495,0.70091903,5.337647e-05
58,15,0.40067458,0.40781564,5.0994648e-05
59,15,0.5301321,0.52309227,4.9559418e-05
60,16,0.58670145,0.5750536,0.00013567311
61,16,0.3036258,0.30912098,3.019712e-05
62,16,1.1839775,1.1951741,0.00012536415
63,16,1.7592808,1.7487991,0.000109866356
64,17,1.8704754,1.8607965,9.368226e-05
65,17,0.32566765,0.32599935,1.10024786e-07
66,17,0.8901712,0.8771763,0.00016886705
67,17,1.7296746,1.7386736,8.098182e-05
68,18,1.7500302,1.7461572,1.5000056e-05
69,18,0.7246255,0.7313653,4.542484e-05
70,18,1.3566898,1.3690971,0.00015394116
71,18,1.4939462,1.4876802,3.926273e-05
72,19,0.8533269,0.8478191,3.0336156e-05
73,19,0.77039266,0.77881426,7.092334e-05
74,19,0.960547,0.9525138,6.45316e-05
75,19,1.8245229,1.8561982,0.0010033271
76,20,0.68010014,0.67537105,2.2364313e-05
77,20,0.5118076,0.52117187,8.768913e-05
78,20,1.6721095,1.6800145,6.2489125e-05
79,20,1.5133659,1.5275112,0.00020009161
80,21,0.31109187,0.30255973,7.279735e-05
81,21,1.4046277,1.4083027,1.3505507e-05
82,21,1.8632985,1.8715197,6.75873e-05
83,21,1.7364908,1.7429338,4.151102e-05
84,22,1.1645753,1.1724166,6.1484876e-05
85,22,1.5810165,1.5911628,0.0001029466
86,22,0.40139654,0.4039922,6.7374667e-06
87,22,0.2850313,0.28772774,7.270867e-06
88,23,0.7463965,0.7585052,0.00014662166
89,23,1.5363309,1.5484017,0.00014570361
90,23,0.5108458,0.524205,0.00017846952
91,23,0.30073225,0.30805454,5.3615808e-05
92,24,0.9230402,0.9188856,1.7260889e-05
93,24,1.3143762,1.3039756,0.00010817358
94,24,1.8258107,1.8267514,8.848798e-07
95,24,1.685178,1.6876061,5.89545e-06
96,25,1.5723236,1.5779128,3.123968e-05
97,25,0.5260154,0.52418864,3.3370636e-06
98,25,0.3551801,0.35271543,6.0746565e-06
99,25,1.3143762,1.3134031,9.4693416e-07
100,26,1.545735,1.540843,2.3931581e-05
101,26,0.65632236,0.6529521,1.1358821e-05
102,26,1.9226516,1.8995901,0.00053183344
103,26,0.37844232,0.3802742,3.3558179e-06
104,27,1.8240379,1.8288133,2.2804492e-05
105,27,1.6499485,1.6590878,8.352679e-05
106,27,0.89710605,0.89748406,1.4289357e-07
107,27,1.9196827,1.9331639,0.00018174114
108,28,1.8215921,1.8167398,2.3544766e-05
109,28,1.6224983,1.6427096,0.00040849822
110,28,1.3580554,1.3604388,5.6809317e-06
111,28,1.3084737,1.3082937,3.240217e-08
112,29,0.829697,0.8401528,0.00010932348
113,29,0.30449972,0.30364794,7.2552945e-07
114,29,0.70604247,0.7098217,1.4282598e-05
115,29,1.4680915,1.4735392,2.9677929e-05
116,30,1.7364744,1.748929,0.00015511778
117,30,1.1464514,1.1373919,8.207326e-05
118,30,0.8921493,0.8891736,8.854804e-06
119,30,1.0644091,1.0611458,1.0649482e-05
120,31,0.44927847,0.46253285,0.00017567843
121,31,1.3213898,1.3298768,7.202893e-05
122,31,1.3084737,1.3141977,3.276364e-05
123,31,0.7609107,0.7570934,1.4571476e-05
124,32,1.0065551,1.0021758,1.9178027e-05
125,32,1.7215921,1.7256213,1.6235048e-05
126,32,0.5534996,0.5559223,5.8697174e-06
127,32,1.0993062,1.0957935,1.2339343e-05
128,33,1.5924501,1.601789,8.721423e-05
129,33,1.7212194,1.7315205,0.00010611293
130,33,0.3708883,0.37153545,4.1881273e-07
131,33,0.77961165,0.7644761,0.00022908417
132,34,1.2817379,1.2868679,2.6316216e-05
133,34,0.60765487,0.61190903,1.8097897e-05
134,34,1.6386216,1.6505857,0.00014313927
135,34,1.2821616,1.2977544,0.00024313583
136,35,1.8245229,1.8427502,0.00033223588
137,35,1.1709156,1.190663,0.00038995888
138,35,1.1114849,1.0891623,0.0004982956
139,35,1.6760323,1.68018,1.720299e-05
140,36,0.58670145,0.5662486,0.00041831937
141,36,1.3224024,1.3361233,0.00018826555
142,36,0.353254,0.34370923,9.110244e-05
143,36,1.9806366,1.9844205,1.43182115e-05
144,37,0.39780876,0.40505546,5.2514704e-05
145,37,1.465548,1.4575889,6.334771e-05
146,37,1.2572198,1.2546036,6.84433e-06
147,37,0.4548371,0.46471655,9.760333e-05
148,38,0.5264589,0.5322062,3.303098e-05
149,38,0.5864527,0.59641945,9.933573e-05
150,38,1.0633192,1.0663251,9.035208e-06
151,38,1.8750725,1.9021748,0.00073453743
152,39,1.8544729,1.8617712,5.3265918e-05
153,39,1.4952254,1.5139332,0.00034998
154,39,1.0831906,1.0750625,6.606515e-05
155,39,1.3091043,1.3211173,0.00014431117
156,40,0.73641956,0.73865384,4.9920077e-06
157,40,0.49492326,0.48483533,0.000101766476
158,40,0.32008088,0.32186663,3.1889215e-06
159,40,1.8694086,1.8693943,2.0463631e-10
160,41,1.3053991,1.3118511,4.1629384e-05
161,41,1.902,1.9155743,0.00018426329
162,41,0.43627673,0.4462593,9.965143e-05
163,41,1.9385934,1.9302503,6.9607326e-05
164,42,1.1505882,1.1508893,9.067486e-08
165,42,1.227007,1.2200507,4.839065e-05
166,42,0.54898125,0.5539326,2.4515944e-05
167,42,0.8140353,0.8063951,5.8372396e-05
168,43,0.8538475,0.8485761,2.7787397e-05
169,43,1.3883398,1.3825912,3.3045373e-05
170,43,1.3548744,1.3718004,0.00028649118
171,43,0.68010014,0.67685544,1.0528065e-05
172,44,0.35433125,0.35937256,2.5414718e-05
173,44,1.902,1.9282895,0.0006911421
174,44,0.95721716,0.9578166,3.59333e-07
175,44,0.35053343,0.3457351,2.3023902e-05
176,45,0.5505045,0.5534833,8.8732595e-06
177,45,0.95721716,0.95239305,2.327196e-05
178,45,0.75506616,0.7538471,1.4860443e-06
179,45,1.6101829,1.6006633,9.062234e-05
180,46,0.4006896,0.4089223,6.777756e-05
181,46,0.6141089,0.61468875,3.3620745e-07
182,46,1.8689232,1.8790635,0.00010282568
183,46,0.67640847,0.6835133,5.0478382e-05
184,47,1.3349698,1.3327734,4.823786e-06
185,47,1.353963,1.3503664,1.2935988e-05
186,47,1.0678337,1.0692145,1.9066119e-06
187,47,0.68010014,0.6819035,3.25203e-06
188,48,0.82965803,0.8267102,8.689568e-06
189,48,1.1227767,1.1455348,0.0005179269
190,48,1.7680753,1.7551253,0.00016770413
191,48,1.3325388,1.350325,0.00031634697
192,49,1.1228998,1.1428595,0.00039838915
193,49,1.936844,1.9450482,6.730925e-05
194,49,1.2765388,1.2782532,2.9389919e-06
195,49,1.1817724,1.1800736,2.8856916e-06
196,50,0.5288666,0.5550271,0.0006843738
197,50,0.28988442,0.30786458,0.0003232861
198,50,0.5851832,0.58559304,1.6797009e-07
199,50,0.4717536,0.4932837,0.00046354486
200,51,1.010034,1.0149946,2.4608109e-05
201,51,1.2825791,1.2900246,5.543657e-05
202,51,0.48387486,0.47284353,0.00012169023
203,51,1.7136245,1.7187455,2.6224567e-05
204,52,0.66058224,0.6521277,7.1479604e-05
205,52,1.0476376,1.0504501,7.910183e-06
206,52,0.94855046,0.9384433,0.00010215468
207,52,1.0838559,1.0635359,0.0004128999
208,53,1.9098939,1.9033413,4.2936266e-05
209,53,1.1464514,1.1580209,0.00013385333
210,53,0.3188163,0.3289292,0.00010227037
211,53,1.2370028,1.2258031,0.00012543357
212,54,1.7164242,1.7367071,0.0004113946
213,54,1.0843319,1.0788276,3.0296775e-05
214,54,1.7110641,1.7127821,2.9516762e-06
215,54,1.8435434,1.8504324,4.7458125e-05
216,55,0.52802664,0.5364967,7.174189e-05
217,55,0.6582971,0.66969717,0.000129961
218,55,0.6040933,0.5965768,5.649782e-05
219,55,0.58309007,0.58303237,3.328978e-09
220,56,0.66579074,0.6454816,0.00041246158
221,56,0.8104355,0.8009132,9.067342e-05
222,56,1.4631615,1.4785217,0.00023593685
223,56,1.7800661,1.7840098,1.5552625e-05
224,57,0.3749343,0.36738443,5.7000267e-05
225,57,0.36701095,0.36400765,9.019806e-06
226,57,1.3062723,1.2942874,0.00014363603
227,57,0.4988885,0.49824932,4.0853882e-07
228,58,1.685178,1.6643269,0.00043476984
229,58,0.87676626,0.8862517,8.997326e-05
230,58,0.70604503,0.7110722,2.5272488e-05
231,58,0.4844416,0.49827102,0.00019125258
232,59,0.70629966,0.7017915,2.0323305e-05
233,59,1.7971536,1.7844912,0.00016033664
234,59,0.5288666,0.5329304,1.6514348e-05
235,59,0.39685118,0.38931972,5.672295e-05
236,60,0.40067458,0.41025406,9.176643e-05
237,60,1.807529,1.8279079,0.0004153015
238,60,1.777999,1.7800418,4.172911e-06
239,60,1.4215705,1.4249008,1.1090437e-05
240,61,0.6211219,0.63657904,0.00023892359
241,61,1.0838559,1.0766698,5.163939e-05
242,61,1.5716604,1.5866988,0.00022615261
243,61,1.6673752,1.6849995,0.0003106145
244,62,0.42383918,0.44620708,0.0005003227
245,62,0.2780489,0.28569752,5.8501344e-05
246,62,0.4680653,0.49195325,0.00057063473
247,62,1.7233992,1.7172979,3.7225258e-05
248,63,0.25690505,0.27003145,0.00017230246
249,63,0.25284126,0.27672547,0.00057045533
250,63,1.6826183,1.6792006,1.1680066e-05
