,batch,truth,prediction,loss
0,1,0.5260154,1.0818365,0.30893704
1,1,1.3969959,1.0818365,0.09932547
2,1,1.6826183,1.0818365,0.36093876
3,1,1.5716604,1.0818365,0.23992749
4,2,1.0110878,1.0818363,0.0050053596
5,2,1.9064355,1.0818365,0.6799635
6,2,1.8732083,1.0818363,0.6262696
7,2,0.60765487,1.0818365,0.22484818
8,3,0.58670145,1.0818365,0.24515867
9,3,1.9413391,1.0818363,0.73874503
10,3,0.76599604,1.0818365,0.099755175
11,3,0.50774294,1.0818365,0.32958338
12,4,0.73641956,1.0818365,0.11931284
13,4,1.5358242,1.0818365,0.20610484
14,4,1.936844,1.0818365,0.73103786
15,4,1.1810836,1.0818365,0.009849986
16,5,0.39780876,1.0818363,0.4678937
17,5,1.8596003,1.0818363,0.6049168
18,5,0.81322455,1.0818365,0.072152354
19,5,0.8921493,1.0818363,0.035981163
20,6,1.8694086,1.0818365,0.6202699
21,6,0.86044717,1.0818363,0.049013168
22,6,0.36236233,1.0818365,0.51764303
23,6,1.3636469,1.0818365,0.0794171
24,7,1.0110878,1.0818365,0.005005377
25,7,1.7237129,1.0818363,0.41200554
26,7,1.1645753,1.0818365,0.0068457215
27,7,1.987293,1.0818363,0.81985176
28,8,0.7532584,1.0818365,0.10796354
29,8,1.085514,1.0818363,1.352479e-05
30,8,0.7609107,1.0818363,0.10299327
31,8,1.488015,1.0818365,0.16498105
32,9,1.4815655,1.0818363,0.15978338
33,9,1.7340713,1.0818363,0.4254104
34,9,1.4046277,1.0818365,0.10419417
35,9,1.509459,1.0818365,0.18286105
36,10,0.8208209,1.0818365,0.06812911
37,10,0.6587879,1.0818365,0.17897008
38,10,1.0831906,1.0818365,1.8335822e-06
39,10,0.74475545,1.0818365,0.11362361
40,11,1.4753139,1.0818365,0.1548245
41,11,0.7263958,1.0818365,0.12633808
42,11,1.7192918,1.0818365,0.4063493
43,11,0.93262154,1.0818365,0.022265093
44,12,0.98206025,1.0818363,0.009955268
45,12,0.88571256,1.0818365,0.038464583
46,12,0.68849266,1.0818365,0.15471935
47,12,1.2045928,1.0818365,0.015069124
48,13,0.5126936,1.0818365,0.32392362
49,13,1.3374841,1.0818365,0.065355726
50,13,0.9771538,1.0818365,0.010958464
51,13,1.7009276,1.0818365,0.38327387
52,14,0.70655,1.0818365,0.14083993
53,14,0.6582971,1.0818365,0.17938557
54,14,1.0120862,1.0818365,0.0048651057
55,14,1.807529,1.0818365,0.5266296
56,15,0.8921493,1.0818365,0.035981208
57,15,0.69186234,1.0818365,0.1520798
58,15,0.61242294,1.0818365,0.22034906
59,15,1.9849092,1.0818363,0.81554055
60,16,0.3507212,1.0818363,0.53452927
61,16,0.5969993,1.0818365,0.23506708
62,16,0.5864527,1.0818365,0.24540505
63,16,1.4215705,1.0818365,0.115419246
64,17,1.5151665,1.0818365,0.18777494
65,17,1.1709156,1.0818365,0.007935094
66,17,1.7110641,1.0818365,0.39592743
67,17,0.4680653,1.0818365,0.3767151
68,18,1.6275126,1.0818363,0.29776254
69,18,0.5505045,1.0818365,0.28231364
70,18,0.3436512,1.0818365,0.5449175
71,18,1.1537279,1.0818365,0.0051683774
72,19,1.5684447,1.0818365,0.2367876
73,19,1.3213898,1.0818365,0.0573858
74,19,0.5505045,1.0818365,0.28231364
75,19,0.76599604,1.0818365,0.099755175
76,20,1.5860217,1.0818365,0.25420272
77,20,1.2572198,1.0818365,0.030759312
78,20,1.2542769,1.0818363,0.029735737
79,20,0.29249647,1.0818363,0.6230575
80,21,0.58309007,1.0818365,0.24874796
81,21,1.3580554,1.0818365,0.07629687
82,21,0.90455216,1.0818365,0.031429723
83,21,0.57285607,1.0818365,0.25906104
84,22,1.8211702,1.0818365,0.5466144
85,22,0.5631441,1.0818365,0.26904178
86,22,1.0950142,1.0818365,0.00017365316
87,22,0.8923258,1.0818365,0.035914283
88,23,0.29249647,1.0818365,0.62305766
89,23,0.5194973,1.0818365,0.31622535
90,23,1.1227767,1.0818363,0.0016761167
91,23,0.9230402,1.0818363,0.02521621
92,24,1.6760323,1.0818365,0.3530687
93,24,1.0086157,1.0818365,0.0053612753
94,24,1.227007,1.0818363,0.02107453
95,24,1.3325388,1.0818365,0.06285168
96,25,0.8914386,1.0818365,0.036251344
97,25,0.46906915,1.0818363,0.37548366
98,25,0.9575354,1.0818365,0.015450758
99,25,1.4240139,1.0818365,0.11708537
100,26,1.2603972,1.0818365,0.031883936
101,26,1.7552931,1.0818365,0.45354387
102,26,0.5022106,1.0818363,0.335966
103,26,1.4680915,1.0818365,0.14919294
104,27,0.8488869,1.0818365,0.054265495
105,27,0.27518687,1.0818365,0.6506835
106,27,1.3228495,1.0818363,0.05808735
107,27,1.2604102,1.0818365,0.031888574
108,28,0.7858015,1.0818365,0.08763672
109,28,1.3197085,1.0818365,0.05658309
110,28,0.51304597,1.0818365,0.32352263
111,28,0.552998,1.0818365,0.27967012
112,29,1.0583415,1.0818365,0.0005520131
113,29,1.0843319,1.0818365,6.2270615e-06
114,29,0.92136663,1.0818363,0.025750529
115,29,1.3350028,1.0818365,0.06409319
116,30,0.3749343,1.0818365,0.49971065
117,30,1.3213794,1.0818365,0.05738083
118,30,0.8104355,1.0818365,0.073658496
119,30,1.8643255,1.0818365,0.61228913
120,31,1.5993276,1.0818365,0.26779705
121,31,0.73641956,1.0818363,0.119312756
122,31,1.2765388,1.0818365,0.03790902
123,31,1.105109,1.0818365,0.00054160994
124,32,1.4939462,1.0818363,0.16983452
125,32,1.1347603,1.0818365,0.0028009284
126,32,0.7532584,1.0818363,0.10796346
127,32,0.5271104,1.0818363,0.30772087
128,33,1.7500302,1.0818365,0.4464828
129,33,1.4680915,1.0818365,0.14919294
130,33,1.1505882,1.0818365,0.0047267955
131,33,1.0065551,1.0818363,0.0056672683
132,34,1.4114313,1.0818365,0.108632766
133,34,0.6860904,1.0818365,0.15661494
